brands,items,avg_ratings,ratings,past_months_sales,prices,markup_prices
Dokotoo,Women's Short Puff Sleeve Knit Tops 2024 Trendy Crewneck Striped T Shirts Casual Summer Blouses,4.5 out of 5 stars,"1,165",900+ bought in past month,$25.88 ,
morhuduck,Women's V Neck Hoodies Long Sleeve Sweatshirt Drawstring Pullover Tops with Pocket,4.1 out of 5 stars,"2,912",300+ bought in past month,$28.99 ,
LILLUSORY,Women's Oversized Sweaters Fuzzy Chunky Warm Pullover Sweater,4.3 out of 5 stars,"1,217",1K+ bought in past month,$37.99 ,
Dokotoo,Women's Casual 3/4 Sleeve Loose Tunic Tops Lightweight Knit Fall Pulover Sweater Blouses,4.0 out of 5 stars,"1,629",100+ bought in past month,$23.88 ,$36.99 
LILLUSORY,Women Oversized Cardigan Sweater Fall Outfits Cloth Fashion V Neck Knit Button Front Casual Trendy Tops,4.4 out of 5 stars,"2,221",1K+ bought in past month,$35.99 ,
Trendy Queen,Womens Zip Up Hoodies Fleece Jackets Oversized Sweatshirts Fall Fashion Outfits Sweaters Winter Clothes,4.3 out of 5 stars,"1,330",100+ bought in past month,$32.99 ,
LILLUSORY,Womens Oversized Cardigans Soft Knit Cardigan Sweater with Pockets,4.4 out of 5 stars,378,1K+ bought in past month,$37.99 ,$58.99 
Trendy Queen,Womens Off The Shoulder Tops Sleeveless Shirts Going Out Crop Tank Tops Slim Fitted Y2K Summer Outfits 2024,4.3 out of 5 stars,683,900+ bought in past month,$19.99 ,
SHEWIN,Oversized Sweatshirts for Women Loose Fit Casual Long Sleeve Button Hooded Sweatshirt Hoodie with Pocket,4.3 out of 5 stars,246,1K+ bought in past month,$34.99 ,$45.99 
AUTOMET,T Shirts Short Sleeve V Neck Tees for Women Fashion Tops Trendy Lightweight Soft Casual Summer Outfits Clothes 2024,4.4 out of 5 stars,"1,088",50+ bought in past month,$14.99 ,
Dokotoo,Womens Color Block Fashion Short Sleeve Crewneck Knitted Spring Summer Casual Loose T Shirts Tops,4.2 out of 5 stars,"1,350",200+ bought in past month,$19.98 ,
LILLUSORY,Womens Oversized Striped Soft Knit Pullover Sweater Shirts with Chest Pocket,4.7 out of 5 stars,58,1K+ bought in past month,$24.99 ,
ANRABESS,Women's Mock Neck Sleeveless Sweater Vest Casual Cap Sleeve Knit Pullover Tank Tops 2024 Fall Summer Clothes,4.3 out of 5 stars,771,400+ bought in past month,$30.99 ,$41.99 
AUTOMET,Womens Oversized Leather Jackets Faux Suede Fall Fashion Motorcycle Coats Winter Outfits Clothes 2024,4.4 out of 5 stars,702,1K+ bought in past month,$45.99 ,
LILLUSORY,Women's Quarter Zip Striped Oversized Sweater Mock Turtleneck Pullover Fall Fashion Outfit Winter Trendy Clothes,4.5 out of 5 stars,505,700+ bought in past month,$39.99 ,$59.99 
Zeagoo,Women's Bomber Jacket Casual Coat Zip Up Outerwear Windbreaker with Pockets S-XXL,4.3 out of 5 stars,"9,783",800+ bought in past month,$27.99 ,$39.99 
Dokotoo,Summer Tops 2024 Womens Solid T Shirts for Women Loose Oversized Shirts Basic Tee,4.3 out of 5 stars,986,500+ bought in past month,$19.99 ,
Saloogoe,Sweatshirts for Women Crewneck Cable Knit Sleeve Sweaters Lightweight Fashion 2024,4.3 out of 5 stars,"1,494",900+ bought in past month,$24.99 ,$28.99 
YETOWA,Women's 2 Piece Lounge Outfits Slim Short Sleeve Tops Low Rise Flare Leggings Sets Yoga Sweatsuit,4.3 out of 5 stars,398,500+ bought in past month,$29.99 ,$36.99 
Casly Lamiit,Women's Summer 2 Piece Outfits Mock Neck Tank Top Cropped Wide Leg Pants Lounge Sets 2024 Fashion Tracksuit,4.3 out of 5 stars,600,50+ bought in past month,$19.79 ,$34.99 
Beaully,Women's Flannel Plaid Shacket Long Sleeve Button Down Shirts Jacket Coats with Side Pockets,4.4 out of 5 stars,"11,996",2K+ bought in past month,$29.89 ,$45.89 
Bofell,Lounge Sets for Women Two Piece Travel Outfits Sweatsuits 2 Piece Fashion 2024 Trendy Pajamas,4.1 out of 5 stars,"3,416",50+ bought in past month,$32.99 ,$35.99 
